SORULAR,CEVAPLAR,EN_SORULAR,EN_CEVAPLAR
Vale araç teslim alma ve teslim etme noktaları nerede?,"Giden yolcu katında 3 numaralı giriş kapısı karşısında Mor otopark P6 katında ,5 numaralı giriş kapısı karşısında Kırmızı Otopark P6 katında ve CIP de olmak üzere toplam 3 adet vale teslim noktası mevcuttur. Gelen yolcu katında katlı otopark içinde 9 numaralı kapının karşısında mor otopark P3 katında ve 13 numaralı kapının karşısında Kırmızı otopark P3 katında 2 adet vale teslim alma noktası bulunmaktadır.",Where are the valet vehicle pickup and drop-off points?,"There are three valet drop-off points on the departures floor: the Purple Car Park on Level 6 opposite entrance gate 3, the Red Car Park on Level 5 opposite entrance gate 6, and the CIP. There are two valet drop-off points on the arrivals floor: the Purple Car Park on Level 3 opposite gate 9 within the multi-story car park, and the Red Car Park on Level 3 opposite gate 13."
Aracım Otopark içerisinde arızalandı ne yapabilirim?,otopark personeli ile iletişime geçmeniz durumunda gerekli yönlendirmeler yapılacaktır.,"My vehicle broke down in the parking lot, what can I do?","If you contact the parking lot staff, the necessary directions will be provided."
X-Ray tarayıcısının sağlığıma bir zararı olur mu?,İstanbul Havalimanında kullandığımız X-Ray cihazları ile sadece eşyalarınızın kontrolleri yapılmaktadır. Kullanılan diğer tarama sistemlerinde (kapı ve el tipi dedektörler) x-ray teknolojisi kullanılmamaktadır.,Will the X-ray scanner harm my health?,The X-ray devices we use at Istanbul Airport only inspect your belongings. Other screening systems (such as door and hand-held detectors) do not use X-ray technology.
Güvenlik tarayıcısından geçmek yerine alternatif bir yöntemle taranmayı tercih edebilir miyim?,"Kontrol noktası görevlilerinin belirleyeceği alternatif bir yöntemle (el ile arama, kabin araması) taranmayı tercih edebilirsiniz.",Can I choose to be scanned using an alternative method instead of going through a security scanner?,"You may choose to be screened using an alternative method (hand search, booth search) determined by checkpoint officers."
Çocuklar güvenlik taramasından geçmek zorunda mı?,Havalimanlarında uygulanan kurallar gereğince özel yolcu kategorisinde bulunan çocukların güvenlik kontrolleri elle yapılabilmektedir.,Do children have to go through security screening?,"In accordance with the rules applied at airports, security checks for children in the special passenger category can be carried out manually."
Hamileyim kalp pilim var. X-Ray taraması veya metal dedektörden geçmem gerekiyor mu?,"Havalimanımızda özel yolcu kategorisinde bulunan çocuk, hamile, kalp pili taşıyan yolcularımızın güvenlik kontrolleri elle yapılabilmektedir.",I'm pregnant and have a pacemaker. Do I need to go through an X-ray scan or a metal detector?,"At our airport, security checks for our special passenger categories such as children, pregnant women and passengers with pacemakers can be carried out manually."
Havalimanında güvenlik noktasından neleri geçirebilirim?,Havalimanında güvenlik noktalarından geçebilecek malzemelerle ilgili bilgiyi Sivil Havacılık Genel Müdürlüğü’nün web sitesi üzerinden bulabilirsiniz. Uçağa alamayacağınız yasaklı maddelerle ilgili olarak seyahat edeceğiniz havayolu şirketi ile de iletişime geçebilirsiniz.,What can I take through airport security?,You can find information about items that can pass through airport security checkpoints on the General Directorate of Civil Aviation's website. You can also contact your airline regarding prohibited items you cannot take on board.
Bebeğimin araba koltuğunu uçakta kullanmak için güvenlikten geçirebilir miyim?,"Bebek araba koltuğuna yönelik yapılan güvenlik kontrollerinde herhangi bir yasaklı/kısıtlı madde içermedikçe güvenlik kontrol noktalarından geçmesi sorun teşkil etmemektedir. Ancak, bebek araba koltuğunun uçak kabininde taşınması ile ilgili seyahat edilecek havayolu şirketi ile iletişime geçmenizi öneririz.",Can I take my baby's car seat through security to use it on a plane?,"As long as the infant car seat doesn't contain any prohibited/restricted items, it won't cause any problems passing through security checkpoints. However, we recommend contacting your airline regarding the transport of the infant car seat in the aircraft cabin."
Biyometrik pasaport kontrol noktası var mı?,"Havalimanı giden ve gelen yolcu pasaport kontrol bölgelerinde bulunan toplam 30 ünite biyometrik geçiş bankosu, Türkiye Cumhuriyeti vatandaşlarına ve gerekli kriterleri sağlayan misafirlerimize hizmet sunmaktadır. Kullanım detayları için Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü’nün web sitesini ziyaret edebilirsiniz.",Is there a biometric passport control point?,"A total of 30 biometric pass counters, located in the airport's departure and arrival passport control areas, serve Turkish citizens and guests who meet the required criteria. For usage details, please visit the General Directorate of Population and Citizenship Affairs website."
Havalimanında gümrüksüz alandan yaptığım alışveriş ürünlerini uçak kabininde taşıyabilir miyim?,Gümrüksüz alandan almış olduğunuz ürünlerin uçak kabininde taşınması ile ilgili bilgiyi havayollarınızdan alabilirsiniz.,Can I carry the items I purchased from the duty-free area at the airport into the aircraft cabin?,You can obtain information from your airline regarding the transportation of products you have purchased from the duty-free area in the aircraft cabin.
Buz paketi veya sıvı soğutma torbası taşıyabilir miyim?,Buz paketinin içerisinde herhangi bir sıvı olmaması durumunda sıvı kısıtlamasına tabi tutulmadan kabin bagajı olarak taşınabilir.,Can I carry an ice pack or liquid cooler bag?,"If the ice pack does not contain any liquid, it can be carried as cabin baggage without being subject to liquid restrictions."
Büyük (over-size) bagajlar için süreç nedir?,"Büyük ya da garip şekilli bagajlarınızı 7 numaralı giriş kapımızda mevcut bulunan büyük bagaj X-Ray’inden geçirmeniz gerekmektedir. C, E, G, L, N ve R check-in adalarında bulunan büyük bagaj kontuarlarından uçak altına yollayabileceğiniz bagajlarınızı havalimanına getirmeden önce seyahat edeceğiniz havayolu şirketi ile irtibata geçmenizi öneririz.",What is the process for over-sized luggage?,"Large or oddly shaped bags must be X-rayed at our gate 7. You can send your luggage to the hold at the oversized baggage counters located in check-in islands C, E, G, L, N, and R. We recommend contacting your airline before bringing your luggage to the airport."
Güvenlik taraması kamera filmini etkiler mi?,"Milli Sivil Havacılık Güvenlik Programı uyarınca ‘’Profesyonel sinema filmi taşıyan kişilerin taşıdıkları filmler bu kişilerin yanında bulunan “Şarj Çadırı” ile kontrol edilmektedir. “Şarj Çadırı” yok ise taşıyan kişinin onayı ile güvenlik cihazı ile taranmalı, şahsın rıza göstermemesi durumunda bu filmin geçişine müsaade edilmemektedir.",Does security screening affect camera film?,"According to the National Civil Aviation Security Program, films carried by individuals carrying professional motion pictures are checked by a ""Charging Tent"" located near them. If there is no ""Charging Tent,"" the film must be scanned by a security device with the permission of the individual carrying it. If the individual refuses, the film will not be allowed to pass."
Silahımla nasıl seyahat edeceğim?,"Havalimanımızda bulunan 1., 5. ve 7. kapılarda bulunan silah teslim noktalarından silahınızı teslim ederek uçuşunuzu gerçekleştirebilirsiniz.",How do I travel with my gun?,"You can fly by handing over your weapon at the weapon drop-off points located at gates 1, 5 and 7 at our airport."
Bir eşya güvenlik kontrolünde reddedilirse ne olur?,Güvenlik kontrolü sırasında Milli Sivil Havacılık Güvenlik Programı’nda belirtilen yasaklı öğelerin tespit edilmesi durumunda bu eşyaların geçişine müsaade edilmez ve imha kutusuna atılır. İmha kutusuna atılan eşyaların tekrar geri alınması mümkün değildir. Bu kaybı yaşamamanız için havalimanına gelmeden önce Sivil Havacılık Genel Müdürlüğü web sitesi üzerinden güvenlik kısıtlamalarını incelemenizi ve seyahat edeceğiniz havayolu şirketi ile iletişime geçmenizi öneririz.,What happens if an item is rejected at security check?,"If prohibited items specified in the National Civil Aviation Security Program are detected during security checks, these items will not be allowed to pass and will be placed in a disposal bin. Items placed in the disposal bin cannot be retrieved. To avoid this loss, we recommend reviewing security restrictions on the General Directorate of Civil Aviation website before arriving at the airport and contacting your airline."
"Elektronik ve elektrikli aletler (dizüstü bilgisayarlar, MP3 çalarlar veya portatif DVD oynatıcılar) taşıyabilir miyim?","Taşınabilir bilgisayarlar, tabletler ve diğer büyük elektrikli eşyaların mevcut kılıf ya da çantalarından çıkarılarak X-ray cihazından ayrı olarak geçirilmesi ve elektronik cihazın çalıştırılarak kontrol edilmesi gerekmektedir. Eğer cihaz çalışmıyorsa ya da personelde bir şüphe oluşursa ilave güvenlik yöntemleri doğrultusunda cihaz Patlayıcı İz Tespit cihazı ile taranmaktadır.","Can I carry electronic and electrical devices (laptops, MP3 players, or portable DVD players)?","Portable computers, tablets, and other large electrical items should be removed from their existing cases or bags, passed through the X-ray machine separately, and the electronic device should be checked by turning it on. If the device is not working or if personnel have any concerns, the device is scanned with an Explosive Trace Detection device in accordance with additional security measures."
El bagajımda elektronik sigara taşıyabilir miyim?,Seyahatinizde uçağa almak istediğiniz elektronik sigara ile ilgili olarak seyahat edeceğiniz havayolu şirketi ile iletişime geçmelisiniz.,Can I carry an electronic cigarette in my hand luggage?,You should contact the airline you will be traveling with regarding the electronic cigarette you want to take on your flight.
"Sıvı bebek maması, hazır süt, soya sütü, pirinç sütü veya sterilize su taşıyabilir miyim?",100 ml. üstünde olan bebek mamaları bebeğin de uçakta seyahat ediyor olması ve mama miktarının yolculuk süresince yeterli olması durumunda taşınabilmektedir. Bu maddeler güvenlik cihazları ile kontrol edildikten sonra geçişlerine müsaade edilir.,"Can I carry liquid baby formula, formula milk, soy milk, rice milk or sterilized water?",Baby food exceeding 100 ml may be carried on board provided the baby is traveling on the plane and the amount of food is sufficient for the duration of the flight. These items are only allowed through after being checked by security devices.
Uçuştan önce alıkonan eşyalarımı nasıl geri alabilirim?,Güvenlik kontrolü sırasında Milli Sivil Havacılık Güvenlik Programı tarafından belirlenmiş olan yasaklı öğeler kapsamındaki eşyaların tespiti durumunda bu eşyaların geçişine müsaade edilmez ve imha kutusuna atılır. İmha kutusuna atılan eşyaların tekrar geri alınması mümkün değildir.,How can I retrieve my items that were detained before my flight?,"If any prohibited items, as defined by the National Civil Aviation Security Program, are detected during the security check, these items will not be allowed to pass and will be placed in a disposal bin. Once disposed of, they cannot be retrieved."
El bagajımda ilaç alabilir miyim?,El bagajında taşınmak istenen ilaçlar yolcunun kimliğini belirten bir reçeteye yazılı olmak veya yolcunun bu ilaçları kullanması gerektiğini belirten bir sağlık raporunun ibrazı ile orijinal ambalajında ve makul miktarlarda olmak koşuluyla müsaade edilir. Konuyla ilgili ayrıntılı bilgiye Gümrük Bakanlığı’nın adresinden ulaşabilirsiniz.,Can I take medication in my hand luggage?,"Medications intended to be carried in hand luggage are permitted, provided they are in their original packaging and in reasonable quantities, accompanied by a prescription stating the passenger's identity or a medical report stating that the passenger requires the medication. Detailed information on this matter can be found on the Ministry of Customs website."
Ücretsiz bagaj hakkim ne kadar?,Ücretsiz bagaj haklarınızı öğrenmek için biletinizi aldığınız havayolunuzla iletişime geçebilirsiniz.,How much free baggage allowance do I have?,You can contact the airline you purchased your ticket from to find out your free baggage allowance.
Bagajımı nereye emanet edebilirim?,"Gelen yolcu katında iki adet bulunan ""Bagaj Emanet"" alanlarına ve giden yolcu katındaki emanet bagaj dolaplarına ücretli olarak bagajınızı emanet edebilirsiniz. Bu alanların konum bilgisine havalimanı haritamız ya da IOS/Android cihazınıza yükleyeceğiniz Istanbul Airport mobil uygulamamız üzerinden ulaşabilirsiniz.",Where can I leave my luggage?,"You can leave your luggage for a fee at the two ""Baggage Storage"" areas on the arrivals floor and the luggage lockers on the departures floor. You can find the location of these areas on our airport map or by downloading the Istanbul Airport mobile app to your iOS/Android device."
Havalimanında bagaj arabaları (trolley) ücretli mi?,"Havalimanımızdaki bagaj arabaları depozito yöntemiyle kullanılmaktadır. Bagaj arabası dispenserlerinden nakit, DEBIT kartınız ya da NFC ile ödeme yaptığınızda sistemden bagaj arabanızın üzerinde QR kod bulunan fişle beraber alabilirsiniz. Bagaj arabanızı geri vermek istediğinizde, dispenser QR kodunuzu okutup ödediğiniz depozito ücretini geri alabilirsiniz. Dispenserin ürettiği QR kod ile almış olduğunuz bagaj arabası eşleştiğinden, arabayı teslim ederken doğru QR kodu okuttuğunuzdan emin olmalısınız.",Are there any charges for luggage trolleys at the airport?,"Luggage carts at our airport are used on a deposit basis. When you pay at the luggage cart dispensers with cash, your DEBIT card, or NFC, you can collect a receipt from the system containing the QR code on your luggage cart. When you want to return your luggage cart, you can scan the dispenser's QR code to get your deposit back. Since the QR code generated by the dispenser matches the luggage cart you purchased, you must ensure you scan the correct QR code when returning the cart."
Havalimanı içerisinde bagaj tasıma (Porter) hizmeti bulunmakta mıdır?,"Havalimanı giden yolcu katı 2, 5 ve 7 numaralı girişlerin yakınında bulunan istasyonlarda bulunan görevliler aracılığı ile fazla eşyalarınızın görevliler tarafından taşınmasını sağlayabilirsiniz. Gelen yolcu katında ise bagaj bantlarımızın bulunduğu alandaki görevlilerimiz aracılığı ile fazla eşyalarınızın taşınmasını sağlayarak seyahatinizi konforlu bir şekilde tamamlayabilirsiniz.",Is there a porter service at the airport?,"You can have your extra luggage transported by staff at the stations located near entrances 2, 5, and 7 on the airport departures floor. On the arrivals floor, you can have your extra luggage transported by staff at the baggage carousel, ensuring a comfortable journey."
Terminalde eşyamı unuttum ne yapmam lazım?,"Havalimanı terminal binası içerisinde eşyanızı unutmanız halinde web sitemizde bulunan kayıp eşya formunu doldurabilir, 444 1 442 çağrı merkezinizi arayabilir ya da 444 1 442 numaralı Whatsapp hattımız üzerinden başvuruda bulunabilirsiniz.","I forgot my item in the terminal, what should I do?","If you forget your belongings inside the airport terminal building, you can fill out the lost property form on our website, call our call center at 444 1 442, or apply via our WhatsApp line at 444 1 442."
"Kimlik, Pasaport, ID card, Green card vb. resmi nitelik taşıyan evrağımı kaybettim, ne yapmalıyım?","Kıymetli evrak statüsünde bulunan ehliyet, pasaport, kimlik, gemi adamı cüzdanı, vb. evraklar başka bir eşyanın içerisinde değil ise havalimanı emniyet birimine yönlendirilir. Bu durumda evrağınızın sorgusu için havalimanı Emniyet Müdürlüğü’ne 444 1 442 numarası üzerinden ya da bizzat havalimanına gelerek başvuruda bulunabilirsiniz. Evrağınız başka bir eşyanın içerisinde ise eşyanız havalimanı kayıp eşya ofisine yönlendirilir. Bu durumda sorgu için web sitemizde bulunan kayıp eşya formunu doldurabilir, 444 1 442 çağrı merkezimizi arayabilir ya da 444 1 442 numaralı Whatsapp hattımız üzerinden başvuruda bulunabilirsiniz.","I lost my official document such as ID, Passport, ID card, Green card, etc., what should I do?","If your driver's license, passport, ID, seaman's badge, etc., are not in any other item, they will be directed to the airport security unit. In this case, you can inquire about your documents by calling the Airport Security Directorate at 444 1 442 or by coming to the airport in person. If your documents are in any other item, they will be directed to the airport's lost and found office. In this case, you can fill out the lost and found form on our website, call our call center at 444 1 442, or submit a request via WhatsApp at 444 1 442."
Kayıp eşyam bulunmuş. Nereden alabilirim?,Terminalde bulunan eşyanıza giden yolcu katında 7. giriş kapısının ilerisinde R check-in adasının karşısında bulunan Kayıp ve Buluntu Eşya Ofisimizden ulaşabilirsiniz. Ofisimizin tam konumuna IOS/Android cihazınıza yükleyeceğiniz Istanbul Airport uygulamamızdaki haritada üzerinden ulaşabilirsiniz.,My lost item has been found. Where can I get it?,"You can access your belongings in the terminal at our Lost and Found Office, located on the departures floor, beyond Gate 7, opposite Check-in Island R. You can find the exact location of our office on the map in our Istanbul Airport app, which you can download to your iOS/Android device."
Uçuştan önce alıkonan eşyalarımı nasıl geri alabilirim?,Güvenlik kontrolü sırasında Milli Sivil Havacılık Güvenlik Programı tarafından belirlenmiş olan yasaklı öğeler kapsamındaki eşyaların tespiti durumunda bu eşyaların geçişine müsaade edilmez ve imha kutusuna atılır. İmha kutusuna atılan eşyaların tekrar geri alınması mümkün değildir. Bu kaybı yaşamamanız için havalimanına gelmeden önce Sivil Havacılık Genel Müdürlüğü’nün web sitesi adresinden güvenlik kısıtlamalarını incelemenizi ve seyahat edeceğiniz havayolu şirketi ile iletişime geçmenizi öneririz.,How can I retrieve my items that were detained before my flight?,"If any prohibited items, as defined by the National Civil Aviation Security Program, are detected during the security check, these items will not be allowed to pass and will be placed in a disposal bin. Items placed in the disposal bin cannot be retrieved. To avoid this loss, we recommend reviewing the security restrictions on the General Directorate of Civil Aviation's website before arriving at the airport and contacting your airline."
Bagaj bandından bagajımı alamadım. Ne yapmalıyım?,"Bagajınızın bagaj bandından çıkmaması veya kayıp olması durumunda henüz bagaj alım noktasındaysanız, ilgili yönlendirmelerle havayolunuza bağlı çalışan yer hizmetleri şirketinin kayıp eşya ofisinde kayıp bagajınızın kaydını yaptırabilirsiniz. Bagaj alım noktasında değilseniz isim soyisim, uçuşunuza ait tarih, saat, destinasyon, uçuş kodu bilgileri, varsa uçuş biletinizin ya da bagaj etiketinizin fotoğrafı ve bagajınızla ilgili renk, büyüklük gibi bilgileri sağlayarak havayolu şirketinizle iletişime geçebilirsiniz.",I couldn't get my luggage from the baggage carousel. What should I do?,"If your baggage is missing from the baggage carousel or is lost, you can still register it at the lost and found office of your airline's ground handling company by following the relevant instructions. If you are not at the baggage claim area, you can contact your airline by providing your full name, flight date, time, destination, flight code, a photo of your flight ticket or baggage tag (if applicable), and information about your baggage, such as its color and size."
Bagajım hasarlı olarak geldi ne yapmalıyım?,"Bagajınızın hasarlı gelmesi durumunda eğer havalimanındaysanız ilgili yönlendirmelerle havayolunuza bağlı çalışan yer hizmetleri şirketinin kayıp eşya ofisi ile irtibata geçip tutanak
tutturabilirsiniz. Havalimanında değilseniz araştırma yapılabilmesi için isim soyisim, uçuşunuza ait tarih, saat, destinasyon, uçuş kodu bilgileri ve varsa uçuş biletinize, bagajınıza ve bagaj etiketinize ait fotoğrafları sağlayarak havayolu şirketinizle iletişime geçebilirsiniz.","My luggage arrived damaged, what should I do?","If your luggage arrives damaged, if you're at the airport, you can contact the lost and found office of your airline's ground handling company and file a report. If you're not at the airport, you can contact your airline by providing your name, flight date, time, destination, flight code, and photos of your ticket, baggage, and baggage tag, if available, for further investigation."
Özel gereksinimli yolcular için ne gibi hizmetler bulunmaktadır?,"Yaşlı, engelli ya da hamile gibi havalimanı süreçlerinde özel gereksinimi bulunabilen misafirlerimiz için havalimanımızda birçok olanak ve uygulamalar bulunmaktadır. Bu olanak ve uygulamalar hakkında detaylı bilgi alabilmek için istairport resmi websitesini inceleyebilirsiniz.",What services are available for passengers with special needs?,"Our airport offers a variety of amenities and services for our guests with special needs, such as the elderly, those with disabilities, or those who are pregnant. For detailed information about these amenities and services, please visit the official Istanbul Airport website."
Havalimanında hareket kabiliyeti kısıtlı yolcular için özel tuvalet bulunuyor mu?,"Havalimanımız genelinde her tuvalet bölgesinde hareket kabiliyeti kısıtlı yolcularımız için tasarlanmış engelli tuvaletlerimiz bulunmaktadır. Sesli “boş/dolu” uyarısı veren tuvaletlerimizin kapısı, kapı yanındaki hareket sensörü ile dışa doğru açılmakta içeri girdikten sonra butonla kapı kilitlenebilmektedir. Bunların yanında 5 adet engelli tuvaletinde hasta tuvaletli tekerlekli sandalyeler bulunmaktadır:",Are there special toilets at the airport for passengers with reduced mobility?,"Throughout our airport, there are accessible restrooms designed for passengers with limited mobility in every restroom area. These restrooms, which provide an audible ""vacancy/occupancy"" alert, have doors that open outward using a motion sensor located next to the door. Once inside, the door can be locked with a button. In addition, five accessible restrooms are equipped with wheelchairs and patient toilets:"
Tekerlekli sandalyemle güvenlik noktasından geçebilir miyim?,Güvenlik uygulamaları esnasında yürüyüp yürüyememe durumunuza göre sandalye sizden ayrı olarak veya bütünüyle kontrol işlemine tabi tutularak geçişiniz sağlanmaktadır.,Can I go through security with my wheelchair?,"During security checks, depending on whether you can walk or not, the chair is either separated from you or subjected to a complete check to ensure your passage."
Engelli yolcular için otoparkta park yeriniz var mi?,Havalimanımızda her kat ve otopark bölgesinde giriş kapılarına daha yakın konumda bulunan toplam 910 kapasiteli engelli araç park yerlerimiz bulunmaktadır. Bunun yanında otoparklarımızda engelli misafirlerimiz için tuvaletler de bulunmaktadır.,Do you have parking spaces for disabled passengers?,"Our airport has 910 accessible parking spaces, located closer to the entrances on each floor and in the parking area. Our parking lots also have restrooms for our disabled guests."
Havalimanında görme engelliler için kılavuz yollar bulunuyor mu?,"Havalimanımızda 1, 3 ve 7. girişlerdeki kaldırımlardan danışma noktasına kadar kılavuz yollarımız bulunmaktadır.Aynı şekilde gelen misafirlerimiz için iç hatlar ve dış hatlar bagaj alım noktalarından çıkış noktasına ve ulaşım katında da kılavuz yollarımız bulunmaktadır.Kılavuz yollarla beraber havalimanımızda ilgili havayolundan asistanlık hizmeti almadan, uçuş kapısına kadar kendisi gitmek isteyen görme engelli misafirlerimiz için “Engelsiz Rota” uygulamasını İç Hatlar Giden Yolcu rotasında hayata geçirdik. 1 ve 3 numaralı kapılardan terminale giriş yaptığınızda engelsiz yolu kullanarak check-in adalarına, ikinci güvenlik noktasına ve uçuş kapılarına ulaşabilirsiniz. Ana bir rota çizdiğimiz, tek şeritli hissedilebilir bir yüzey olan “Engelsiz Rota”, uçuş kapıları bölgesinde uçuş kapılarının olduğu noktalarda ve tuvaletlerde uyarıcı yüzeye sahiptir. Mobil uygulamamızı indirerek harita kısmında “Sesli Adımlar ile Aç” özelliğini açarsanız istediğiniz rotaya sesli yönlendirmelerle ulaşabilir ve telefonunuzu tuttuğunuz yöndeki mekan hakkında bilgi sahibi olabilirsiniz.",Are there guide paths for the visually impaired at the airport?,"At our airport, we have guideways from the sidewalks at entrances 1, 3, and 7 to the information desk. Similarly, for arriving guests, we also have guideways from the domestic and international baggage claim areas to the exit point and on the transportation floor. In addition to the guideways, we have implemented the ""Barrier-Free Route"" feature on the Domestic Departures route for visually impaired guests who wish to navigate themselves to their gate without requiring assistance from the relevant airline. When you enter the terminal from gates 1 and 3, you can use the barrier-free route to reach the check-in islands, the second security checkpoint, and the boarding gates. The ""Barrier-Free Route,"" a single-lane, tactile surface we've mapped as a main route, features warning surfaces at the gates and restrooms. By downloading our mobile app and enabling the ""Open with Voice Steps"" feature on the map, you can navigate your desired route with voice prompts and learn about the location in the direction you hold your phone."
"Havalimanında güvenlik ve pasaport noktalarında engelli, hamile yolcular için Öncelikli geçiş bulunuyor mu?","1., 3. ve 7. girişlerde kılavuz yollar boyunca takip edebileceğiniz, engelli ve hamile geçiş önceliği tanınan güvenlik geçişlerimiz bulunmaktadır. Bunun dışında pasaport kontrol bölgelerinde engelli ve hamile misafirlerimiz için ayrı geçiş güzergahları tanımlanmıştır.",Is there priority access for disabled and pregnant passengers at the airport security and passport control points?,"At entrances 1, 3, and 7, there are security checkpoints that you can follow along the guide paths, giving priority to those with disabilities and pregnant women. Separate routes have been designated for guests with disabilities and pregnant women at passport control areas."
